Date : 2023-02-21 17:51:51
Directory : c:\Users\yassi\OneDrive\Bureau\Thesis-project
Total : 86 files,  69398 codes, 552 comments, 488 blanks, all 70438 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\mainpage.js                      | JavaScript   |          9 |          0 |          1 |         10 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\subjects\addSubject.js           | JavaScript   |        123 |          0 |          8 |        131 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\subjects\subjectDetails.js       | JavaScript   |        146 |          0 |          7 |        153 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\subjects\subjects.js             | JavaScript   |         83 |          1 |          4 |         88 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\users\userDetails.js             | JavaScript   |        209 |          0 |          8 |        217 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\users\users.js                   | JavaScript   |         85 |          1 |          5 |         91 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\reportWebVitals.js                     | JavaScript   |         12 |          0 |          2 |         14 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\setupTests.js                          | JavaScript   |          1 |          4 |          1 |          6 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\utils\functions.js                     | JavaScript   |         24 |          0 |          3 |         27 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\build_frontend.sh                                       | Shell Script |         15 |          1 |          8 |         24 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\Dockerfile                                  | Docker       |          7 |          0 |          1 |          8 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\README.md                                   | Markdown     |         38 |          0 |         33 |         71 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\package-lock.json                           | JSON         |     30,596 |          0 |          1 |     30,597 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\package.json                                | JSON         |         48 |          0 |          1 |         49 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\public\bme.svg                              | XML          |      1,271 |          0 |          0 |      1,271 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\public\index.html                           | HTML         |         20 |         23 |          1 |         44 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\public\login.svg                            | XML          |         46 |          0 |          1 |         47 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\public\manifest.json                        | JSON         |         25 |          0 |          1 |         26 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\App.css                                 | CSS          |          0 |          0 |          1 |          1 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\App.js                                  | JavaScript   |         31 |          0 |          2 |         33 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\App.test.js                             | JavaScript   |          7 |          0 |          2 |          9 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\api\user.api.js                         | JavaScript   |         17 |          0 |          5 |         22 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\components\header.js                    | JavaScript   |         89 |          2 |          3 |         94 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\components\sidebar.js                   | JavaScript   |         67 |          0 |          4 |         71 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\configs\authConfig.js                   | JavaScript   |         46 |         19 |          5 |         70 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\index.css                               | CSS          |         12 |          0 |          2 |         14 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\index.js                                | JavaScript   |         22 |          7 |          6 |         35 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\layout.js                               | JavaScript   |         34 |          0 |          3 |         37 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\logo.svg                                | XML          |          1 |          0 |          0 |          1 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\ask\askquestion.js                | JavaScript   |        109 |          0 |          3 |        112 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\departments.js                    | JavaScript   |         81 |          0 |          4 |         85 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\logging\login.js                  | JavaScript   |        100 |          4 |          8 |        112 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\logging\register.js               | JavaScript   |         48 |          1 |          4 |         53 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\mainpage.js                       | JavaScript   |         51 |          0 |          3 |         54 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\profile.js                        | JavaScript   |          8 |          0 |          3 |         11 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\questions\openquestion.js         | JavaScript   |         96 |          0 |          3 |         99 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\questions\questions.js            | JavaScript   |         68 |          0 |          3 |         71 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\reportWebVitals.js                      | JavaScript   |         12 |          0 |          2 |         14 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\setupTests.js                           | JavaScript   |          1 |          4 |          1 |          6 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\utils\functions.js                      | JavaScript   |         22 |          0 |          3 |         25 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Local deployment\config\db.sql                                   | SQL          |         90 |         94 |         47 |        231 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Local deployment\docker-compose.yml                              | YAML         |         45 |          0 |          4 |         49 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\README.md                                                        | Markdown     |          1 |          0 |          0 |          1 |
| Total                                                                                                          |              |     69,398 |        552 |        488 |     70,438 |
+----------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
