Date : 2023-02-22 17:57:13
Directory : c:\Users\yassi\OneDrive\Bureau\Thesis-project
Total : 91 files,  69834 codes, 557 comments, 513 blanks, all 70904 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| JSON         |          8 |     63,477 |          0 |          8 |     63,485 |
| JavaScript   |         62 |      3,371 |        415 |        358 |      4,144 |
| XML          |          5 |      2,635 |          0 |          2 |      2,637 |
| SQL          |          1 |         90 |         94 |         47 |        231 |
| Markdown     |          3 |         77 |          0 |         66 |        143 |
| CSS          |          4 |         57 |          0 |         11 |         68 |
| YAML         |          1 |         45 |          0 |          4 |         49 |
| HTML         |          2 |         40 |         46 |          2 |         88 |
| Shell Script |          2 |         21 |          2 |         12 |         35 |
| Docker       |          3 |         21 |          0 |          3 |         24 |
+--------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |         91 |     69,834 |        557 |        513 |     70,904 |
| . (Files)                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| Backend                                                                                                        |         20 |      2,769 |        338 |        180 |      3,287 |
| Backend (Files)                                                                                                |          5 |      2,220 |          8 |         20 |      2,248 |
| Backend\configs                                                                                                |          2 |         32 |          3 |          2 |         37 |
| Backend\controllers                                                                                            |          6 |        452 |        287 |         96 |        835 |
| Backend\middlewares                                                                                            |          1 |         11 |          4 |          2 |         17 |
| Backend\routes                                                                                                 |          6 |         54 |         36 |         60 |        150 |
| Frontend                                                                                                       |         68 |     66,929 |        125 |        282 |     67,336 |
| Frontend (Files)                                                                                               |          1 |         15 |          1 |          8 |         24 |
| Frontend\admin-portal                                                                                          |         32 |     33,589 |         60 |        142 |     33,791 |
| Frontend\admin-portal (Files)                                                                                  |          4 |     30,669 |          0 |         36 |     30,705 |
| Frontend\admin-portal\public                                                                                   |          4 |      1,345 |         23 |          3 |      1,371 |
| Frontend\admin-portal\src                                                                                      |         24 |      1,575 |         37 |        103 |      1,715 |
| Frontend\admin-portal\src (Files)                                                                              |          8 |        133 |         11 |         24 |        168 |
| Frontend\admin-portal\src\api                                                                                  |          3 |        128 |          0 |          7 |        135 |
| Frontend\admin-portal\src\components                                                                           |          1 |        122 |          2 |          4 |        128 |
| Frontend\admin-portal\src\configs                                                                              |          1 |         46 |         19 |          5 |         70 |
| Frontend\admin-portal\src\pages                                                                                |         10 |      1,122 |          5 |         60 |      1,187 |
| Frontend\admin-portal\src\pages (Files)                                                                        |          1 |         28 |          0 |          3 |         31 |
| Frontend\admin-portal\src\pages\departments                                                                    |          3 |        391 |          2 |         19 |        412 |
| Frontend\admin-portal\src\pages\logging                                                                        |          1 |         57 |          1 |          6 |         64 |
| Frontend\admin-portal\src\pages\subjects                                                                       |          3 |        352 |          1 |         19 |        372 |
| Frontend\admin-portal\src\pages\users                                                                          |          2 |        294 |          1 |         13 |        308 |
| Frontend\admin-portal\src\utils                                                                                |          1 |         24 |          0 |          3 |         27 |
| Frontend\user-portal                                                                                           |         35 |     33,325 |         64 |        132 |     33,521 |
| Frontend\user-portal (Files)                                                                                   |          4 |     30,689 |          0 |         36 |     30,725 |
| Frontend\user-portal\public                                                                                    |          4 |      1,345 |         23 |          3 |      1,371 |
| Frontend\user-portal\src                                                                                       |         27 |      1,291 |         41 |         93 |      1,425 |
| Frontend\user-portal\src (Files)                                                                               |          9 |        116 |         11 |         19 |        146 |
| Frontend\user-portal\src\api                                                                                   |          4 |         52 |          0 |          9 |         61 |
| Frontend\user-portal\src\components                                                                            |          3 |        171 |          2 |          9 |        182 |
| Frontend\user-portal\src\configs                                                                               |          1 |         46 |         19 |          5 |         70 |
| Frontend\user-portal\src\pages                                                                                 |          9 |        884 |          9 |         48 |        941 |
| Frontend\user-portal\src\pages (Files)                                                                         |          2 |        167 |          0 |          9 |        176 |
| Frontend\user-portal\src\pages\ask                                                                             |          3 |        405 |          3 |         21 |        429 |
| Frontend\user-portal\src\pages\logging                                                                         |          2 |        148 |          6 |         12 |        166 |
| Frontend\user-portal\src\pages\questions                                                                       |          2 |        164 |          0 |          6 |        170 |
| Frontend\user-portal\src\utils                                                                                 |          1 |         22 |          0 |          3 |         25 |
| Local deployment                                                                                               |          2 |        135 |         94 |         51 |        280 |
| Local deployment (Files)                                                                                       |          1 |         45 |          0 |          4 |         49 |
| Local deployment\config                                                                                        |          1 |         90 |         94 |         47 |        231 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                       | language     | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\Dockerfile                                               | Docker       |          7 |          0 |          1 |          8 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\build_backend.sh                                         | Shell Script |          6 |          1 |          4 |         11 |
